Name/Label,Description,Individual/Organization,Actor Sub-Type(s),Website,Email,"City, State",Country,Operating Region(s),Connections,Activities,System focus,Tags: Field/Approach,Tags: Issues,Key Publications,Scale,Additional Notes,Keywords
Culture Hack Labs,"Culture Hack Labs (CHL) is a not-for-profit consultancy that supports organizations, social movements and activists to create cultural interventions for systems change. We do this in two ways: 1. Providing tools and training for culture hacking and 2. Engaging in Cultural Interventions. We amplify voices of those who are protecting life, weave webs of solidarity, and defend that which is sacred. We collect and map large volumes of social data using the Culture Hack platform designed specifically for narrative work. We then analyze the networks, language, and deep logics to create life-centric narratives to evolve culture.",Organization,NGO/civil society organization,https://www.culturehack.io/,contact@culturehack.io,,,"Latin America,US & Canada,Western Europe",Con-40 - Culture Hack Labs -  New World Foundation,"Consulting & Advisory,Research,Convening & Coordination,Technology Development,Education,Advocacy & Organizing","Worldviews,Ecosystems,Economy,Politics","Narratives,Food Sovereignty,Local Economies,Indigenous/Traditional Living","ecological collapse,capitalism,inequality,environmental justice",- Transforming the Transition report: https://www.culturehack.io/app/uploads/2022/05/Culture-Hack-Labs_TTT_Report.pdf ,International,,"life-centred,regenerative/regeneration,protecting/defending life,enabling/supporting life,evolution of culture/society"
New World Foundation,"Our work aims to support leaders and organizations that advance democracy, protect community and build a humane social vision.

Rooted in a long tradition of advancing ever-compelling challenges to economic equity, democratic rights, and civic participation in the United States, the New World Foundation (NWF) strengthens community-based organizations and local leadership. As a national community foundation, we work from the bottom up to build coalitions around issues that converge in place, creating alliances locally and building movements nationally: the essential ingredients of a working democracy",Organization,Donor foundation,https://newwf.org/,not-found,not-found,USA,US & Canada,Con-40 - Culture Hack Labs -  New World Foundation,"Philanthropy,Education","Health,Energy & Resources,Food,Community,Education","Participatory & Deliberative Democracy,Adaptation & Resilience,Local Economies","environmental justice,pollution & waste,globalization,energy transition,material resources,land,climate change,Health,human rights,governance,poverty,water,social justice,migration",,National,"- N.B. not clearly paradigmatic, but included as a connection to Culture Hack Labs. 
- As well as philanthropy, they also deliver funder education, e.g. ""we organize frequent seminars and workshops on topics like education and community development, political participation and state-based power building, the changing economy and the role of government, global environmental justice, progressive media strategies, and nonprofit leadership development. These programs bring together outside experts, NWF staff and like-minded donors for mutually beneficial explorations of politics and strategy. These seminar series offer a productive forum for diverse stakeholders to join around a funding area, and the funder education seminar and workshops often lead to substantial publications, collaborative funds, and long-term donor relationships that maximize social change impact.""
- Collaborative approach - building partnerships for impact: ""Using our own resources in concert with others, NWF is building a resilient community of philanthropists that can strengthen progressive infrastructure and effect lasting social change. NWF promotes donor partnerships for greater collective impact involving both learning and giving together. Our grantmaking programs have become collaborative funds, and we engage with long-established foundations and new donors to build and advance issue initiatives and multi-issue organizational capacity that rebuilds and sustains a robust progressive policy and action agenda.""",
Indian Multiversities Alliance,"The Indian Multiversities Alliance is a network of people reimagining the university and creating new models of higher education across the Indian sub-continent. These educational visionaries are working on powerful approaches to pedagogy which explore self, community living, social justice, sustainable lifestyles, nature re-connect, alternative healing, regenerative livelihoods and social entrepreneurship, etc. These educators are committed to collaborating and co-creating to amplify their impact and unleash more possibilities for the advancement of human consciousness and the well-being of life on the planet. The IMA currently has 70+ members organizations spread across the Indian sub-continent. Indian Multiversities Alliance is part of the global Ecoversities Alliance",Organization,Association/network/movement,https://www.multiversities.net/index.html,,,India,South Asia,"Con-41 - Swaraj University -  Indian Multiversities Alliance,Con-65 - Indian Multiversities Alliance -  Ecoversities Alliance","Convening & Coordination,Education,Advocacy & Organizing","Education,Ecosystems,Community","Decolonization,Local Economies,Social & Solidarity Economy","capitalism,communities,consumption & lifestyles","- The Ecoversities Startup Kit, https://www.multiversities.net/assets/THE%20ECOVERSITIES%20STARTUP%20KIT-min.pdf ",National,Their members are listed here: https://www.multiversities.net/member-details.php ,"earth-centred/eco-centric,care movement/ethics of care,regenerative/regeneration,evolution of consciousness"
NoVo Foundation,"Established in 2006, the NoVo Foundation supports initiatives that promote a holistic, interconnected and healing vision for humanity.
As a country, we find ourselves in the most unstable time since the Civil War. Current and historically marginalized and oppressed populations in this country (and around the world) are in ever more precarious positions with no indication that circumstances will be improving.

After over fourteen years of learning and over 700 million dollars invested, unfortunately, this reality is not surprising. The collapse we have been expecting is surely underway. And, as is always the case, marginalized communities will bear the brunt. We will continue to support communities as they undertake the complex work of reimagining and rebuilding the world they’ve hoped to see for generations.

Pre-construction. Working on solutions now so old patterns of power can’t, once again, re-form to rebuild and continue to repress.",Organization,Donor foundation,https://novofoundation.org/,info@novofoundation.org,"Kingston, New York",USA,Global,Con-43 - Purposeful -  NoVo Foundation,Philanthropy,"Inter-Systemic Framework,Community,Education,Worldviews,Health,Food","Local Economies,Indigenous/Traditional Living,Decolonization","social justice,communities,globalization,inequality,Health,social movements,consumption & lifestyles,material resources,environmental justice,land,water","'- Peter Buffett, 'The Charitable-Industrial Complex' (2013): https://www.nytimes.com/2013/07/27/opinion/the-charitable-industrial-complex.html
- Edgar Villanueva, Decolonizing Philanthropy (2018) -NoVo Foundation supported the launch of this book, which ""analyzes the colonial dynamics at play within philanthropy and offers a path towards balance based in the guidance of Indigenous leaders"" and includes a foreword by Jennifer and Peter Buffett
- Peter Buffett, 'NoVo at 14. Continuing to Learn' (2020): https://medium.com/@isound77/novo-at-14-continuing-to-learn-3a2087bdeb1 ",International,"'- Key people: Jennifer and Peter are the Co-Presidents of the foundation. They also co-chair the Board of Directors. Peter Buffett is the youngest son of investor Warren Buffett.
- Inner workings of org: ""NoVo’s operations, partnerships and finances are guided and led by a team rather than an executive director. Decisions are considered collectively and in a non-hierarchical manner."" -- would be curious to hear more about how they do this (what specific governance and decision-making structures or processes)",
Accountability Lab,"The Accountability Lab was founded in early 2012 as an effort to work with young people to develop new ideas for accountability, transparency and open government. It has evolved into a global network of local Accountability Labs that are finding new ways to shift societal norms, solve intractable challenges and build “unlikely networks” for change. Externally, this means convening and supporting others within the accountability space to push towards collective goals. Internally, this means actively coaching, mentoring and developing the next generation of accountability thinkers and practitioners. Our vision: a world in which resources are used wisely, decisions benefit everyone fairly, and people lead secure lives. Our mission is to make governance work for people through supporting active citizens, responsible leaders and accountable institutions.",Organization,NGO/civil society organization,https://accountabilitylab.org/,"'- General: info@accountabilitylab.org
- Liberia: lawrence@accountabilitylab.org (Lawrence Yealue)
- Mali: doussouba@accountabilitylab.org (Doussouba Konate)
- Nepal: suresh@accountabilitylab.org (Suresh Chand)
",Washington DC,USA,"East Africa,Central Africa,Middle East & North Africa,West Africa,Southern Africa,South Asia,Latin America,US & Canada",,"Advocacy & Organizing,Convening & Coordination,Research,Education","""Policy, Planning & Law"",Security & Defence,Politics,Climate,Technology,Community","Narratives,Adaptation & Resilience,Just Transition,Data Sovereignty,Participatory & Deliberative Democracy","governance,social justice,environmental justice,land,material resources,energy transition",,International,"Their global base is in the USA but they have network labs in multiple countries, each with their own Country Director: Liberia, Mali, Pakistan, Nepal, Mexico, Niger, South Africa, Nigeria, Sri Lanka, Zimbabwe",
Observatorio de Ecología Política de Venezuela (OEP),"OEP aims to make visible and analyse the inequalities and socio-ecological impacts caused by interventions into nature, ecosystems and territories, including their relationship with the dominant economic model. 

At the same time, they seek to record, systematise and disseminate different forms of knowledge and experiences in the context of socio-environmental struggles in the country, the defence of the natural commons and territories, as well as the promotion of ways of life consistent with the care of nature, life and different forms of community.

OEP aims to give voices and spaces for dialogue to diverse communities affected by these socio-ecological impacts, who usually have little or no presence in the hegemonic media; to promote clarity and cohesion among the varied ecologies of the country; and to offer material for academic and activist research regarding the diverse political and social issues of ecology in Venezuela.",Organization,NGO/civil society organization,https://ecopoliticavenezuela.org/,ecopoliticavenezuela@gmail.com,Caracas,Venezuela,Latin America,"Con-50 - Observatorio de Ecología Política de Venezuela (OEP) -  Rosa Luxemburg Stiftung,Con-69 - Pacto EcoSocial e Intercultural del Sur -  Observatorio de Ecología Política de Venezuela (OEP)","Research,Education,Advocacy & Organizing","Climate,Ecosystems,Energy & Resources,Community,Economy,Politics","Political Ecology,Just Transition,Agroecology,Ecological Civilization,Rights of Nature","energy transition,social movements,climate change,environmental justice,capitalism,water,land,communities,inequality,social justice,ecological collapse","- 'Transiciones en época de metacrisis', https://ecopoliticavenezuela.org/2022/08/06/transiciones-en-epoca-de-metacrisis/
- 'Energía, comunes y transiciones en femenino', https://ecopoliticavenezuela.org/2023/06/14/energia-comunes-y-transiciones-en-femenino/ 
- 'Sentidos e imaginación en la ecología política ante el colapso civilizatorio', https://ecopoliticavenezuela.org/2022/06/13/sentidos-e-imaginacion-en-la-ecologia-politica-ante-el-colapso-civilizatorio/ 
- Situación Socioambiental de Venezuela 2022 ",National,"'- They cite the use of the term 'polycrisis' at Davos 2023 in this article (Feb 2023): https://ecopoliticavenezuela.org/2023/02/14/biodiversidad-sociodiversidad-y-ecopolitica-de-la-diversidad/.
- They use the term polycrisis in this article (Oct 2022): https://ecopoliticavenezuela.org/2022/10/28/transiciones-justas-para-america-latina-y-el-mundo/
- They also use the term 'metacrisis', e.g. in this article: https://ecopoliticavenezuela.org/2022/08/06/transiciones-en-epoca-de-metacrisis/ ",socio-ecological transformation
Asociación Andes,"ANDES actively works on issues of biodiversity conservation, indigenous rights, and sustainable development. Furthermore, we promote the horizontal exchange of experiences and policies which value traditional and indigenous knowledge and contribute to the global dialogue on climate change.

Our Mission: Promote a conservation and sustainable development approach based on the Andean principle of Sumaq Kawsay through the implementation of Biocultural Territories.

Our Vision: Create local capacities and strategic responses to the socio-economic, cultural, ecological and political effects of the globalization process on local communities, as well as the protection of their resources, knowledge and the rights associated with these resources.",Organization,NGO/civil society organization,https://www.andes.org.pe/,"'- alejandro@andes.org.pe (Alejandro Argumedo, President of the Board of Directors and one of the founders of ANDES)
- tammy@andes.org.pe (Tammy Stenner, Director of Yachay Kuychi Pluriversity)",Cusco,Peru,Latin America,"Con-51 - Asociación Andes -  IIED,Con-52 - Asociación Andes -  The Christensen Fund","Advocacy & Organizing,Convening & Coordination,Research,Education","Climate,Food,Ecosystems,Worldviews,Community,Economy,""Policy, Planning & Law"",Technology","Rights of Nature,Decolonization,Indigenous/Traditional Living,Adaptation & Resilience,Agroecology,Buen Vivir,Social & Solidarity Economy,Food Sovereignty,Political Ecology,Participatory & Deliberative Democracy,Sustainable Development","biodiversity,poverty,inequality,environmental justice,social justice,human rights,land,material resources,climate change,globalization,water,governance","'- 'Building Transdisciplinarity for Managing Complexity: Lessons from Indigenous Practice' (2009)- co-authored by Alejandro Argumedo, President of the Board of Directors and one of the founders of ANDES.
- 'A Decolonial Approach to Innovation? Building Paths Towards Buen Vivir' - co-authored by A. Argumedo
- 'Bypassing Globalization: Barter Markets as a New Indigenous Economy in Peru' - co-authored by A. Argumedo
- 'Indigenous Peoples and Climate Change in the ANDES' - authored by ANDES
- 'Solving ""Wicked"" Problems: a Compendium of Case Studies' - includes a case study co-authored by A. Argumedo and Tammy Stenner of ANDES
- 'Participatory Curriculum Development: Facilitating Learning for Social Change in the Andes' - MA thesis by Tammy Stenner, Director of Yachay Kuuychi Pluriversity (ANDES)
- 'Biocultural Heritage Territories'

Download publications here: https://www.andes.org.pe/publications/",International,,"biocultural diversity,sacred natural sites"
Focus on the Global South,"Focus on the Global South is an activist think tank in Asia
providing analysis and building alternatives for just social, economic and political change. We work on the following thematic areas: 

1) Political Economy of Development - Unpacking the dominant model in order to raise critical understanding among broad constituencies, and to support frontline communities challenging the negative impacts of development;
2) Power and Democracy - Expanding critical analysis to link economic and development policies with political trends, human rights abuses and violent conflict in order to empower local communities to fight challenges and claim their rights and spaces;
3)People's Alternatives - Drawing attention to social and political resistance and change to put forth people's own visions and practice for a better world that can form elements of the deglobalisation paradigm.",Organization,Research institute,https://focusweb.org/,info@focusweb.org,Bangkok,Thailand,"Southeast Asia,South Asia","Con-64 - Rosa Luxemburg Stiftung -  Focus on the Global South,Con-66 - Fundación Solon -  Focus on the Global South","Research,Advocacy & Organizing,Education,Journalism","Economy,Politics,Food,Community","Local Economies,Political Economy,The Commons,Food Sovereignty,Agroecology,Buen Vivir,""Degrowth, Post-growth, & Ecological Economics"",Rights of Nature","social justice,human rights,globalization,inequality,environmental justice,war/violent conflict,capitalism,social movements","'- 'The Global Food Crisis, This Time' (2022), https://focusweb.org/publications/globalfoodcrisis2022/. In this dossier, researchers from Focus on the Global South write about various aspects of the current crisis, its causes, and how it is impacting countries in Asia. 
- 'Envisioning a Better World without the WTO' (2022), https://focusweb.org/publications/envisioning-a-better-world-without-the-wto/. The articles in this dossier present analyses by Focus on the Global South, social movements and civil Society Organisations on the issues at stake at MC 12, deep flaws in WTO agreements and why developing countries need to walk away from the WTO. ",International,- They use the term polycrisis here: https://focusweb.org/conference-on-agriculture-land-forests-perspectives-on-the-crisis-and-policy-alternatives-february-18-19-2023-new-delhi-india/,deglobalisation
Corasoma,"Corasoma's vision is to be a centre for social transformation processes, based on therapeutic and social reparation activities, supported by somatic, ecological, spiritual, ancestral, contemporary and integral approaches that promote healing, non-violence, social and ecological regeneration, buen vivir, and the re-establishment of the fabric of relationships, for individual and collective benefit.

We develop processes of training, therapeutic accompaniment and social transformation. We tend to points of pain, conflict, or trauma in individuals, communities, and territories in an integral, sensitive and sustainable way. 

In 2009 we acquired a farm in Barichara, in order to start a permacultural family project, from where we could offer integral, healing, deep and sustainable therapeutic processes.",Organization,NGO/civil society organization,https://www.corasoma.org/,corasoma@corasoma.org,"Barichara, Santander",Colombia,Latin America,Con-53 - Corasoma -  MingaNet,Education,"Health,Community,Worldviews,Food","Indigenous/Traditional Living,Psychology,Ecological Civilization,""Spirituality, Philosophy, & Religion"",Permaculture","Health,communities,land,consumption & lifestyles",,International,,"regenerative/regeneration,collective wellbeing"
CASA Latina,"CASA is the Council for Sustainable Settlements in Latin America. 

We are a multicultural and inclusive community, living in fullness, peace and harmony with Mother Earth and with all beings that inhabit this common home. 

CASA Latina works to coordinate a network of organisations and other networks that promote and facilitate the connection of sustainable settlements in Latin America, with the aim of sharing and exchanging: information, knowledge, experiences and services, promoting the organisation of national and regional networks for the strengthening of the undertakings and initiatives of the network and the achievement of buen vivir in the territories where the sustainable settlements that make up CASA Latina have an impact.

We promote the creation and articulation of initiatives, projects, networks and sustainable settlements to live and promote regenerative lifestyles and resilient societies. We support and develop inspiring initiatives, events and projects in the ecological, social, cultural and spiritual fields. We provide information, tools and trainings to accelerate the transition to regenerative lifestyles. We facilitate and participate in cultural and social processes of advocacy and action to recognise and defend the rights of Mother Earth.

CASA Latina is currently formed of: CASA Jovenes; CASA Mexico, CASA Ecuador, CASA Chile, CASA Argentina, CASA Nomadas, CASA Dominicana, CASA Colombia, CASA Brasil, CASA Peru. CASA Latina is registered in Colombia.",Organization,"Association/network/movement,NGO/civil society organization",https://redcasalatina.org/,,Bogotá,Colombia,Latin America,Con-54 - CASA Latina -  Global Ecovillage Network,"Advocacy & Organizing,Convening & Coordination,Education","Built Environment,Climate,Ecosystems,Community,Economy,""Policy, Planning & Law""","Permaculture,Eco-communities,Participatory & Deliberative Democracy,Adaptation & Resilience,Agroecology,Indigenous/Traditional Living,Transition Towns,Rights of Nature,Ecological Civilization,Buen Vivir","consumption & lifestyles,governance,capitalism,climate change,ecological collapse,communities,material resources",,International,"- They embody their values in their ways of working internally; practices/frameworks they use include: Sociocracy, Nonviolent Communication, spaces for celebration and gratitude","regenerative/regeneration,resilient communities/ecosystems"
ELOS Institute,"We connect people, communities, governments and business together to learn how to make the world a better place for everyone. Our purpose is to propel the movement to build the world we all dream of right now. We believe that the path to realize the world we all dream of is one of transformation in community. We ourselves live a process of community development, just as we develop tools and methodologies that stimulate other projects for people and communities in the world. We do this through: Leadership Development and Lectures; Tools for Social Mobilization; Community and Local Development; and Revitalization of Public and Community Spaces.",Organization,NGO/civil society organization,https://institutoelos.org/?lang=en,elos@institutoelos.org,Santos,Brazil,"Global,Latin America",,"Education,Convening & Coordination,Consulting & Advisory","Community,Worldviews,Built Environment,Education,""Policy, Planning & Law""",Human Flourishing,"communities,consumption & lifestyles,Health,social movements","- ELOS Philosophy [video]: https://youtu.be/BTs63bgWkYY?list=PLVHxJsRp_lMCMVVgAjhTL6ukmJR434Aw2
",International,"- Games for social transformation project: https://www.institutoelos.org/games/. Supporting creativity, innovation, cooperation, citizen mobilization and activation of resources. E.g. The Abundance Game for fundraising: https://www.institutoelos.org/games/games/view/jogo-da-abund-ncia.
- I chose the ""Health"" issue tag thinking of it as ""Health and Wellbeing""
- I chose the ""Social Movements"" issue tag thinking of something like ""Responsible Citizenship"" or ""Citizen Mobilization""",
The New Institute,"THE NEW INSTITUTE is an experimental initiative aimed at developing social imaginaries for future societies. We combine academic rigor with innovative practice to inspire, promote and implement societal change. We try to close the gap between insight and action by bringing together academics from different disciplines with politicians, entrepreneurs, journalists, and artists.

We live and collaboratively work together in the Warburg Ensemble, which provides the conditions for rethinking conventional approaches to work. We host up to 35 fellows and build unlikely alliances.",Organization,Research institute,https://thenew.institute/en,minna.salami@thenew.institute,Hamburg,Germany,"US & Canada,Western Europe",,Research,"Economy,""Policy, Planning & Law"",Politics,Ecosystems","The Commons,Adaptation & Resilience,The Earth System & Sustainability,Indigenous/Traditional Living,Human Flourishing,Political Economy","governance,ecological collapse,environmental justice,social justice","'- 'Towards a New Enlightenment. A Case for Future-oriented Humanities' (2022), https://thenew.institute/en/media/discussion-papers/the-integrative-power-of-the-humanities. Co-authored by fellows of THE NEW INSTITUTE, this essay addresses: What might a new understanding of the humanities look like, one that aligns its thinking and imagination with criteria for a livable future? 
- 'On Hope', https://thenew.institute/en/media/on-hope. 'Hope is a promise, a contradiction, a quiet revolution. For the second issue of our Paper Edition, we speak to twelve leading thinkers, dreamers, and practitioners; and present them in the context of artworks that expand the concept of hope.' 
",International,"One of their 2023/24 programmes is 'Black Feminism and the Polycrisis', chaired by Minna Salami: https://thenew.institute/en/programs/black-feminism-and-the-polycrisis. ",socio-ecological transformation
Nueva Esperanza,"The Nueva Esperanza (New Hope) Community Action Program was founded in 2013. The program is designed to support young Salvadoran community leaders in enriching the grass-roots community initiatives they have begun, by offering pathways for continued purpose-based learning, trauma healing, and community leadership. Nueva Esperanza recognizes the power of youth change agents working in the context of their own communities, doing the work that they are uniquely positioned to do as community members themselves, and seeks to ally with and support them in deepening this work. ",Organization,NGO/civil society organization,https://www.nuevaesperanzascholars.org/,nuevaesperanzabecarios@gmail.com,San Salvador,El Salvador,Latin America,,"Education,Convening & Coordination","Health,Community,Education","Wealth Redistribution,Decolonization,Social & Solidarity Economy","inequality,social justice,communities,Health,human rights,poverty,war/violent conflict",,Local,,"liberation,collective wellbeing"
WoMin,"An NGO striving for an Africa in which all women have secure access to resources for life and livelihood and can exercise full control over their bodies and development choices.

In partnership with national partners and networks, WoMin works to deepen resistance to specific destructive extractive projects. They support women and their communities to articulate their development alternatives. As a feminist organization, they focus on women’s organizing, consciousness-raising and leadership. They also work to build a body of information and knowledge to support community activists, with a focus on women.",Organization,NGO/civil society organization,https://womin.africa/,info@womin.org.za,Johannesburg,South Africa,"Central Africa,East Africa,West Africa,Southern Africa,Middle East & North Africa",,"Advocacy & Organizing,Education","Education,Climate,Community,Health,Economy,Ecosystems","""Degrowth, Post-growth, & Ecological Economics""","capitalism,energy transition,climate change,communities,environmental justice,Health,inequality,globalization,human rights,material resources,poverty,social justice",,International,"They support multiple initiatives in multiple countries in Africa, focusing on women’s organizing, consciousness-raising and leadership",
Fundación Solon,"The Fundación Solón was founded in 1994 at the initiative of artist Walter Solón Romero to foster creativity and a critical view of rebellious spirits. Over the years, and after the master's departure in 1999, the Solon Foundation became a center for questioning and searching for alternatives through art, analysis and activism in an attempt to change the system.

Confronting injustices and dreaming of a different world are the legacies of the artist who once said:

""We cannot allow our dreams to disappear when it is time to wake up. If we have lost faith in the myths of the past, then let us build new dreams. We have all seen this world roll down the cliff of history: wars, revolutions, frustrations, victories, defeats... We all have experiences to recreate the utopia of humanity.""

The mission of the Solon Foundation is to contribute to the practice of humanity, a humanity that lives in harmony, developing its human potential in a world of solidarity, respectful of life and nature. To practice humanity is to assume that all human beings have the right to happiness regardless of race, culture, gender, generation, economic and social status, hierarchy, political or religious opinion.

Our institutional objective is to promote Solon's work and thought.  To this end, we combine the systematization and dissemination of his works with the research and production of audiovisual, printed and digital materials about our reality and different initiatives that invigorate the practice of humanity.

In this journey of more than two decades, we have gained experience in the issues of water, free trade, the fight against impunity, domestic work, climate change, human rights and the rights of Mother Earth.

At present, the Solon Foundation has three areas of work (Systemic Alternatives, Mother Earth and Rights), manages the Solon House Museum, watches over the place of the disappeared detainee José Carlos Trujillo Oroza and provides services at the level of audiovisual production, events and research.

Translated with www.DeepL.com/Translator (free version)",Organization,NGO/civil society organization,https://fundacionsolon.org/,info@fundacionsolon.org,La Paz,Bolivia,Latin America,Con-66 - Fundación Solon -  Focus on the Global South,"Art Creation & Storytelling,Research,Education,Advocacy & Organizing,Journalism,Convening & Coordination","""Policy, Planning & Law"",Ecosystems,Inter-Systemic Framework,Climate,Energy & Resources,Economy,Politics,Food","Buen Vivir,""Degrowth, Post-growth, & Ecological Economics"",The Commons,Rights of Nature,Food Sovereignty,Social & Solidarity Economy","water,capitalism,human rights,climate change,environmental justice,inequality,social justice,energy transition,communities,international/multilateral institutions,social movements","'- Alternativas Sistémicas (2017)
- Reflexiones Amazónicas (2022) https://asambleamundialamazonia.files.wordpress.com/2022/08/rs-07-fospa-final-1.pdf 
- Es posible el vivir bien? (2016) https://funsolon.files.wordpress.com/2016/06/vb.pdf ",International,,care movement/ethics of care
Pacto EcoSocial e Intercultural del Sur,"The Ecosocial and Intercultural Pact of the South (Pacto Ecosocial del Sur) is a broad platform which was created in June 2020 against the dynamics of capitalist readjustment, further concentration of wealth and destruction of ecosystems that were emerging amid the COVID-19 crisis to develop shared horizons of a future with dignity for Latin American societies.

See list of signatories here: https://pactoecosocialdelsur.com/quienes-somos/",Organization,Association/network/movement,https://pactoecosocialdelsur.com/,pactoecosoacialdelsur@gmail.com,Multiple,,Latin America,"Con-68 - Pacto EcoSocial e Intercultural del Sur -  Instituto Políticas Alternativas para o Cone Sul (PACS),Con-69 - Pacto EcoSocial e Intercultural del Sur -  Observatorio de Ecología Política de Venezuela (OEP)","Advocacy & Organizing,Convening & Coordination","Politics,Economy,Ecosystems,Climate,Community,Energy & Resources,Worldviews,""Policy, Planning & Law""","Just Transition,Wealth Redistribution,Rights of Nature,Buen Vivir,Agroecology,Food Sovereignty,The Commons,Decolonization,Local Economies","energy transition,social justice,environmental justice,water,social movements,capitalism,communities,ecological collapse,inequality,international/multilateral institutions,poverty,material resources","- 'Manifesto for an Ecosocial Energy Transition from the Peoples of the South', https://pactoecosocialdelsur.com/manifesto-for-an-ecosocial-energy-transition-from-the-peoples-of-the-south/ - In this manifesto they address some of the ways the Global South position is different from that of the North and how some Global North 'green' initiatives re energy transition can perpetuate neocolonialism extractive harm to life in Global South
- 'Towards a Pact with the Earth: Geopolitics of Transitions and Re-existences', https://pactoecosocialdelsur.com/bogota-declaration-towards-a-pact-with-the-earth-geopolitics-of-transitions-and-re-existences/ 
",International,"- Asociación Argentina de Abogados Ambientalistas is a signatory
","protecting/defending life,socio-ecological transformation,regenerative/regeneration,swaraj,ubuntu,vivir sabroso,sumac kawsay,care movement/ethics of care"
Instituto Políticas Alternativas para o Cone Sul (PACS),"The Institute for Alternative Policies for the Southern Cone (PACS) is a civil society organization founded in 1986 by Latin American economists returning from exile after more than a decade of corporate-military dictatorships. The Institute was born in the midst of the construction of a constitution aimed at deepening democracy and political participation. Since then, it has placed itself at the service of social movements and collaborated in the critical production of research and the development of practical work that opposed the force of neoliberalism. The work carried out contributes mainly to the debate on ""development models"" and points to the need to build alternative socio-economic policies to the logic of capitalism.

PACS is an institution that has for more than 30 years joined the anti-capitalist struggle, with an important Latin American identity, becoming a pioneer and arduous defender in the struggle for the integration of peoples. For PACS, life has always been above profit. And utopia is not just a dream but needs to be built every day. PACS has therefore worked and is working to help build a world of social, environmental and political justice, where workers, individuals and collectives are free from the bonds of oppression and are able to confront and overcome socio-economic and environmental threats. 

We are a multidisciplinary team of mostly women, made up of popular educators, communicators, social scientists, internationalists, biologists, psychologists, economists, researchers, administrators and activists. Together with self-organized collectives and other partners, we start from the territories, from the critical debate on the capitalist, racist and patriarchal development model, towards strengthening alternatives for economic, social and environmental justice.",Organization,NGO/civil society organization,http://pacs.org.br/,,Rio de Janeiro,Brazil,Latin America,Con-68 - Pacto EcoSocial e Intercultural del Sur -  Instituto Políticas Alternativas para o Cone Sul (PACS),"Advocacy & Organizing,Research,Public Commentary","Economy,Education,Politics,Community,Food,""Policy, Planning & Law""","Social & Solidarity Economy,Political Economy,Participatory & Deliberative Democracy,Agroecology,Indigenous/Traditional Living,Food Sovereignty,Buen Vivir","social movements,social justice,environmental justice,war/violent conflict,international/multilateral institutions,material resources,land,capitalism,globalization,governance",,International,One of their three axes of work is 'Critiques of and Alternatives to the Current Model of Development',"liberation,socio-ecological transformation,resistance"
